modulo,parametro,estado,resultado,recomendacion,clave
Capacidad de lodo,Estado de capacidad,ADMISIBLE,Aprobada,La cantidad de lodo propuesta cumple los criterios de C/N y humedad para la formulación inicial.,ESTADO DE CAPACIDAD|ADMISIBLE
Capacidad de lodo,Estado de capacidad,ADMISIBLE CON AJUSTE DE HUMEDAD,Ajustar humedad,La cantidad de lodo es admisible por C/N pero se requiere incrementar la humedad de la mezcla hasta alcanzar el rango recomendado antes de conformar la pila.,ESTADO DE CAPACIDAD|ADMISIBLE CON AJUSTE DE HUMEDAD
Capacidad de lodo,Estado de capacidad,NO ADMISIBLE,Reformular,La cantidad de lodo propuesta no cumple los criterios establecidos. Ajustar la cantidad de lodo y/o la composición de la mezcla antes de conformar la pila.,ESTADO DE CAPACIDAD|NO ADMISIBLE
Formulacion,Humedad inicial,BAJA,Reformular,Incrementar la humedad inicial de la mezcla antes de conformar la pila,HUMEDAD INICIAL|BAJA
Formulacion,Humedad inicial,ALTA,Reformular,Incrementar el material estructurante para reducir la humedad de la mezcla,HUMEDAD INICIAL|ALTA
Formulacion,Humedad inicial,CORRECTA,Aprobada,La humedad inicial es adecuada para iniciar el proceso,HUMEDAD INICIAL|CORRECTA
Formulacion,Relacion C/N,BAJO,Reformular,Incrementar materiales ricos en carbono como aserrin, podas, etc,RELACION C/N|BAJO
Formulacion,Relacion C/N,ALTO,Reformular,Incrementar materiales con mayor contenido de nitrogeno,RELACION C/N|ALTO
Formulacion,Relacion C/N,CORRECTO,Aprobada,La relacion C/N es adecuada,RELACION C/N|CORRECTO
Seguimiento,Temperatura,BAJA,Reformular,Verificar humedad, mezcla y evolucion de la actividad biologica,TEMPERATURA|BAJA
Seguimiento,Temperatura,ALTA,Reformular,Realizar volteo y verificar aireacion de la pila,TEMPERATURA|ALTA
Seguimiento,Temperatura,CORRECTA,Aprobada,La temperatura se encuentra dentro del rango esperado,TEMPERATURA|CORRECTA
Seguimiento,pH,BAJO,Reformular,Revisar composicion de la mezcla y continuar el seguimiento del pH,PH|BAJO
Seguimiento,pH,ALTO,Reformular,Revisar composicion de la mezcla y posibles perdidas de nitrogeno,PH|ALTO
Seguimiento,pH,CORRECTO,Aprobada,El pH se encuentra dentro del rango esperado,PH|CORRECTO
Seguiiento,Humedad,BAJA,Reformular,Adicionar agua durante el volteo hasta alcanzar el rango recomendado,HUMEDAD|BAJA
Seguimiento,Humedad,ALTA,Reformular,Incrementar material seco y revisar aireacion o drenaje,HUMEDAD|ALTA
Seguimiento,Humedad,CORRECTA,Aprobada,La humedad se encuentra dentro del rango esperado,HUMEDAD|CORRECTA
